date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2010-01-01,-4,-7,0.0,3.8,1,1,100,06:03 PM,10:22 AM,09:49 AM,05:07 PM,-6,-10,-6,-10,18,67,97,0.0,1002,-4,5,127,11
2010-01-02,-6,-8,0.4,1.9,1,1,85,07:40 PM,10:49 AM,09:49 AM,05:09 PM,-7,-13,-7,-13,23,96,96,0.5,1009,-6,8,36,15
2010-01-03,-12,-15,0.0,1.9,1,1,77,09:15 PM,11:09 AM,09:48 AM,05:10 PM,-13,-18,-13,-18,15,72,96,0.0,1018,-12,5,128,9
2010-01-04,-8,-13,0.2,1.9,1,1,70,10:46 PM,11:24 AM,09:48 AM,05:11 PM,-10,-17,-10,-17,32,73,95,0.2,1015,-8,9,214,20
2010-01-05,-6,-7,0.8,1.9,1,1,63,No moonrise,11:37 AM,09:48 AM,05:13 PM,-7,-13,-6,-13,29,100,95,0.9,1013,-6,7,201,18
2010-01-06,-6,-9,1.5,1.9,1,1,56,12:14 AM,11:49 AM,09:47 AM,05:14 PM,-8,-14,-8,-14,26,100,96,1.7,1013,-6,8,115,17
2010-01-07,-4,-6,1.1,1.9,1,1,48,01:40 AM,12:02 PM,09:47 AM,05:15 PM,-6,-10,-5,-10,16,100,97,1.3,1008,-4,5,213,11
2010-01-08,-5,-6,0.3,1.9,1,1,41,03:04 AM,12:16 PM,09:46 AM,05:17 PM,-6,-11,-6,-11,19,94,97,0.4,1022,-5,5,188,12
2010-01-09,-7,-10,0.0,3.9,2,2,34,04:27 AM,12:35 PM,09:45 AM,05:18 PM,-8,-15,-8,-15,35,61,96,0.0,1029,-7,9,61,22
2010-01-10,-6,-10,0.9,1.9,1,1,27,05:46 AM,01:01 PM,09:45 AM,05:20 PM,-9,-17,-8,-17,48,88,95,2.7,1025,-6,6,63,30
2010-01-11,-6,-7,0.5,1.9,1,1,19,06:58 AM,01:36 PM,09:44 AM,05:22 PM,-7,-13,-7,-13,28,98,97,0.6,1022,-6,8,63,19
