date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2010-01-01,-0,-2,0.0,3.8,2,2,100,06:09 PM,10:40 AM,10:06 AM,05:12 PM,-5,-4,-1,-4,14,79,76,0.0,1002,-0,10,143,10
2010-01-02,-3,-6,0.0,1.8,1,1,85,07:48 PM,11:06 AM,10:06 AM,05:14 PM,-7,-12,-5,-12,31,92,86,0.0,1011,-3,10,44,25
2010-01-03,-1,-8,0.8,1.8,1,1,77,09:25 PM,11:24 AM,10:06 AM,05:15 PM,-7,-10,-5,-10,22,88,84,0.9,1017,-1,8,156,16
2010-01-04,0,-2,0.0,1.8,1,1,70,10:58 PM,11:37 AM,10:05 AM,05:16 PM,-3,-8,-1,-8,40,100,85,1.5,1011,0,5,244,30
2010-01-05,-1,-3,1.6,1.8,1,1,63,No moonrise,11:48 AM,10:05 AM,05:18 PM,-3,-7,-1,-7,31,100,90,2.9,1010,-1,7,218,22
2010-01-06,-4,-6,0.0,1.8,1,1,56,12:27 AM,11:59 AM,10:04 AM,05:19 PM,-6,-12,-5,-12,30,100,92,0.0,1011,-4,10,123,23
2010-01-07,-3,-7,0.2,1.8,1,1,48,01:54 AM,12:10 PM,10:04 AM,05:21 PM,-7,-9,-5,-9,14,97,88,0.3,1008,-3,9,172,10
2010-01-08,-1,-4,0.6,1.8,1,1,41,03:20 AM,12:24 PM,10:03 AM,05:22 PM,-4,-6,-2,-6,23,80,85,0.7,1022,-1,9,223,15
2010-01-09,-5,-6,0.0,5.8,2,2,34,04:44 AM,12:41 PM,10:02 AM,05:24 PM,-8,-14,-5,-14,44,51,85,0.0,1030,-5,10,69,32
2010-01-10,-6,-7,0.0,5.8,2,2,27,06:05 AM,01:05 PM,10:02 AM,05:25 PM,-8,-16,-6,-16,54,47,86,0.0,1026,-6,9,69,40
2010-01-11,-4,-6,0.0,5.8,2,2,19,07:19 AM,01:39 PM,10:01 AM,05:27 PM,-7,-13,-5,-13,38,53,92,0.0,1023,-4,10,74,29
2010-01-12,-2,-5,0.0,5.8,2,2,12,08:20 AM,02:25 PM,10:00 AM,05:29 PM,-4,-9,-3,-9,24,59,95,0.0,1024,-2,10,78,16
2010-01-13,-3,-4,0.0,5.8,2,2,5,09:07 AM,03:26 PM,09:59 AM,05:31 PM,-5,-9,-4,-9,21,25,91,0.0,1023,-3,10,98,14
2010-01-14,-4,-6,0.0,5.8,2,2,0,09:40 AM,04:35 PM,09:58 AM,05:32 PM,-6,-11,-5,-11,24,37,92,0.0,1025,-4,10,121,17
2010-01-15,-5,-6,0.0,5.8,2,2,0,10:02 AM,05:50 PM,09:57 AM,05:34 PM,-7,-11,-6,-11,20,8,89,0.0,1032,-5,10,127,13
2010-01-16,-4,-7,0.0,5.8,2,2,2,10:18 AM,07:05 PM,09:56 AM,05:36 PM,-7,-12,-5,-12,33,23,91,0.0,1038,-4,10,133,24
